Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
is_D prop=1.000,,is_D prop=0.000,,is_D prop=1.000,,is_D prop=0.000,,is_D prop=1.000,,is_D prop=0.000,
is_NSub prop=0.908,,is_NSub prop=0.599,,is_NSub prop=0.622,,is_NSub prop=1.000,,is_NSub prop=0.574,,is_NSub prop=0.453,
Me_dAbu,(2R)-2-(methylamino)butanoic acid,F,(2S)-2-amino-3-phenylpropanoic acid,dF,(2R)-2-amino-3-phenylpropanoic acid,Me_Abu,(2S)-2-(methylamino)butanoic acid,dF,(2R)-2-amino-3-phenylpropanoic acid,A,(2S)-2-aminopropanoic acid
d(N->O)Gly(allyl),(2R)-2-hydroxypent-4-enoic acid,Phe(4-F),(2S)-2-amino-3-(4-fluorophenyl)propanoic acid,dI,"(2R,3R)-2-amino-3-methylpentanoic acid",Pr_Gly,2-(propylamino)acetic acid,Me_dI,"(2R,3R)-3-methyl-2-(methylamino)pentanoic acid",Me_Abu(morpholino),(2S)-2-(methylamino)-4-morpholin-4-ylbutanoic acid
Me_dK,(2R)-6-amino-2-(methylamino)hexanoic acid,isoamyl_Gly,2-(3-methylbutylamino)acetic acid,d(N->O)aIle,"(2R,3S)-2-hydroxy-3-methylpentanoic acid",GABA,4-aminobutanoic acid,Me_dL,(2R)-4-methyl-2-(methylamino)pentanoic acid,Bal,3-aminopropanoic acid
dP,(2R)-pyrrolidine-2-carboxylic acid,meI,"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid",dL,(2R)-2-amino-4-methylpentanoic acid,Hyp(Et),"(2S,4R)-4-ethoxypyrrolidine-2-carboxylic acid",Me_dY,(2R)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,HOCOCH2_Bal,3-(carboxymethylamino)propanoic acid
dPip,(2R)-piperidine-2-carboxylic acid,meL,(2S)-4-methyl-2-(methylamino)pentanoic acid,d(N->O)Leu,(2R)-2-hydroxy-4-methylpentanoic acid,meK,(2S)-6-amino-2-(methylamino)hexanoic acid,medl-,(2R)-4-methyl-2-(methylamino)pentanoic acid,D,(2S)-2-aminobutanedioic acid
d(N->O)Val,(2R)-2-hydroxy-3-methylbutanoic acid,Phg,(2S)-2-amino-2-phenylacetic acid,Me_dNva,(2R)-2-(methylamino)pentanoic acid,Me_Lys(Me),"(2S)-2,6-bis(methylamino)hexanoic acid",dPro(O->S),N.D,meD,(2S)-2-(methylamino)butanedioic acid
dAla(O->S),N.D,Ser(Bn),(2S)-2-amino-3-phenylmethoxypropanoic acid,Me_dY,(2R)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,P,(2S)-pyrrolidine-2-carboxylic acid,,,Asp(OMe),(2S)-2-amino-4-methoxy-4-oxobutanoic acid
Mono115,2-[(2R)-3-ethoxy-2-(methylamino)-3-oxopropyl]sulfanylaceticacid,Me_Ser(isoamyl),(2S)-2-(methylamino)-3-(3-methylbutoxy)propanoic acid,dTyr(bR-OMe),"(2R,3R)-2-amino-3-(4-hydroxyphenyl)-3-methoxypropanoic acid",Me_Ser(Pr),(2S)-2-(methylamino)-3-propoxypropanoic acid,,,E,(2S)-2-aminopentanedioic acid
