Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
chir D=1.00 L=0.00 N=0.00,,chir D=0.00 L=1.00 N=0.00,,chir D=1.00 L=0.00 N=0.00,,chir D=0.00 L=1.00 N=0.00,,chir D=1.00 L=0.00 N=0.00,,chir D=0.00 L=1.00 N=0.00,
is_NSub prop=0.929,,is_NSub prop=0.616,,is_NSub prop=0.550,,is_NSub prop=0.988,,is_NSub prop=0.496,,is_NSub prop=0.435,
Me_dAbu,(2R)-2-(methylamino)butanoic acid,Ala(tBu),"(2S)-2-amino-4,4-dimethylpentanoic acid",Me_dA,(2R)-2-(methylamino)propanoic acid,Me_Abu,(2S)-2-(methylamino)butanoic acid,dF,(2R)-2-amino-3-phenylpropanoic acid,meA,(2S)-2-(methylamino)propanoic acid
d(N->O)Gly(allyl),(2R)-2-hydroxypent-4-enoic acid,Ala(indol-2-yl),(2S)-2-amino-3-(1H-indol-2-yl)propanoic acid,dAbu,(2R)-2-aminobutanoic acid,meF,(2S)-2-(methylamino)-3-phenylpropanoic acid,Me_dI,"(2R,3R)-3-methyl-2-(methylamino)pentanoic acid",Abu,(2S)-2-aminobutyric acid
d(N->O)aIle,"(2R,3S)-2-hydroxy-3-methylpentanoic acid",meF,(2S)-2-(methylamino)-3-phenylpropanoic acid,Me_dAbu,(2R)-2-(methylamino)butanoic acid,meI,"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid",Me_dL,(2R)-4-methyl-2-(methylamino)pentanoic acid,Me_Abu,(2S)-2-(methylamino)butanoic acid
d(N->O)Leu,(2R)-2-hydroxy-4-methylpentanoic acid,Phe(4-F),(2S)-2-amino-3-(4-fluorophenyl)propanoic acid,d(N->O)Gly(allyl),(2R)-2-hydroxypent-4-enoic acid,(N->O)xiIle,(2S)-2-hydroxy-3-methylpentanoic acid,Me_dY,(2R)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,Asp(Ph(2-NH2)),(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid
Me_dNva,(2R)-2-(methylamino)pentanoic acid,Et_Phe,(2S)-2-(ethylamino)-3-phenylpropanoic acid,dI,"(2R,3R)-2-amino-3-methylpentanoic acid",Me_Lys(Me),"(2S)-2,6-bis(methylamino)hexanoic acid",dPro(O->S),N.D,F,(2S)-2-amino-3-phenylpropanoic acid
dPip,(2R)-piperidine-2-carboxylic acid,Hph,(2S)-2-amino-4-phenylbutanoic acid,d(N->O)aIle,"(2R,3S)-2-hydroxy-3-methylpentanoic acid",meL,(2S)-4-methyl-2-(methylamino)pentanoic acid,,,Phe(4-NO2),(2S)-2-amino-3-(4-nitrophenyl)propanoic acid
Me_dV,(2R)-3-methyl-2-(methylamino)butanoic acid,Me_Hph,(2S)-2-(methylamino)-4-phenylbutanoic acid,Me_dK,(2R)-6-amino-2-(methylamino)hexanoic acid,(N->O)Leu,(2S)-2-hydroxy-4-methylpentanoic acid,,,H2NEt_Phe,(2S)-2-(2-aminoethylamino)-3-phenylpropanoic acid
d(N->O)Val,(2R)-2-hydroxy-3-methylbutanoic acid,meI,"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid",dL,(2R)-2-amino-4-methylpentanoic acid,meM,(2S)-2-(methylamino)-4-methylsulfanylbutanoic acid,,,Hse(Et),(2S)-2-amino-4-ethoxybutanoic acid
